budget,rank,eigenvalue,raw_eigenvalue,rho
200,30,33525.06851945759,3283.7650039767027,0.075
200,31,32838.81146773407,2108.8925855505963,0.075
200,32,31391.786823901584,1833.277838323177,0.075
200,33,26948.200486555197,1617.539408979071,0.075
200,34,26707.5509157988,1511.4517089387505,0.075
200,35,22876.033820253528,1020.4053254918196,0.075
200,36,17273.301783924348,788.4567496947848,0.075
200,37,15747.606337912166,482.2197643126622,0.075
200,38,13157.658695146982,394.75248284826824,0.075
200,39,10082.901175478304,218.6694082171054,0.075
200,40,9813.735343982353,88.23435006160138,0.075
200,41,8096.327625223435,23.814592412127514,0.075
200,42,6773.33922990673,15.528143503900852,0.075
200,43,3996.3898993265025,0.00026192303346395595,0.075
200,44,1116.4559859106644,0.00015108292933066044,0.075
200,45,560.5040455733864,4.592479426354172e-05,0.075
200,46,299.05307235405127,3.4481802161860405e-05,0.075
200,47,94.16613630119267,2.199308670390747e-05,0.075
200,48,74.42192538578777,1.0846942177096274e-05,0.075
200,49,0.000387452859615602,1.0029093483741371e-05,0.075
200,50,0.00026643050266379303,1.6703221952021472e-06,0.075
200,51,0.00022007178228623374,1.0685220889318e-06,0.075
200,52,0.00018452990953915374,2.9339734392591074e-07,0.075
200,53,0.00012334356989712836,6.67510312840011e-08,0.075
200,54,8.20332932973422e-05,2.6737434763675605e-09,0.075
200,55,7.80232522835833e-05,4.925559893404945e-10,0.075
200,56,5.250174742460148e-05,3.849865517098943e-10,0.075
200,57,3.845661328026766e-05,0.0,0.075
200,58,3.6562756492888324e-05,-2.3954982845940334e-10,0.075
200,59,1.4681125605335856e-05,-7.68708815734497e-10,0.075
200,60,1.0000000000000243e-07,-2.0985122876484034e-09,0.075
