method,budget,trial,f1,seconds
EXPF,5,5,0.54717060067925,0.04333972930908203
ASTRA_AGF,25,5,0.6777059521775995,0.7678968906402588
Coordinate_RF,25,5,0.6971456613854756,0.7835206985473633
EXP010,25,5,0.6068836070019133,0.020906448364257812
EXPF,25,5,0.635837726010376,0.07122254371643066
ASTRA_AGF,50,5,0.7118608042995053,0.8423199653625488
Coordinate_RF,50,5,0.7240261853766297,0.9166648387908936
EXP010,50,5,0.617773530021497,0.02756047248840332
EXPF,50,5,0.6411609357136867,0.07287311553955078
ASTRA_AGF,100,5,0.7244688362925049,0.9153652191162109
Coordinate_RF,100,5,0.7441885227224143,0.9732804298400879
EXP010,100,5,0.6205351979254328,0.02379441261291504
EXPF,100,5,0.6531019406854791,0.06680154800415039
ASTRA_AGF,200,5,0.7441084417743059,1.188204288482666
Coordinate_RF,200,5,0.7612309965522144,1.0999739170074463
EXP010,200,5,0.624415622381489,0.03182268142700195
EXPF,200,5,0.6624834903792098,0.08090472221374512
ASTRA_AGF,5,6,0.6396037901804543,0.669276237487793
Coordinate_RF,5,6,0.6378116000785594,0.6677730083465576
EXP010,5,6,0.5973602166711234,0.016256093978881836
EXPF,5,6,0.5534531506943063,0.05978560447692871
ASTRA_AGF,25,6,0.6681958886888115,0.8430304527282715
Coordinate_RF,25,6,0.6795038354648476,0.788276195526123
EXP010,25,6,0.6084220859142297,0.02895045280456543
EXPF,25,6,0.6344813061360604,0.07287192344665527
ASTRA_AGF,50,6,0.6955327046896618,0.8528182506561279
Coordinate_RF,50,6,0.7076361841634966,0.8503446578979492
EXP010,50,6,0.6049432782948555,0.023450851440429688
EXPF,50,6,0.6406797373247232,0.0661005973815918
ASTRA_AGF,100,6,0.706630213126333,0.8961923122406006
Coordinate_RF,100,6,0.7254234331383835,0.9013562202453613
EXP010,100,6,0.6088955531079961,0.028247356414794922
EXPF,100,6,0.646194657879786,0.06965994834899902
ASTRA_AGF,200,6,0.7343651732933273,1.1437780857086182
Coordinate_RF,200,6,0.7485208257756152,1.0691065788269043
EXP010,200,6,0.6187319293788629,0.02513885498046875
